음식 이름,단백질(mg), 탄수화물(mg), 지방(mg), 철분(mg), 오메가3(mg), 칼슘(mg), 비타민D(mg), 아연(mg), 비타민B12(mg)
호두,15470,7920,71990,2.49,11460,81,0,2.92,0
회덮밥,6000,20700,3300,3.5,0,24,0,1.71,0
크로와상,7900,43900,26800,0.6,220,21,0.0001,0.6,0.00016
김치,1400,4400,300,0.8,0,64,0,64,0
오트밀쿠키,700,8940,2470,0.64,0,17,0,0.76,0
오징어덮밥,25,900,79000,7200,0.8,29.55,0,2.58,0.00206
초코 파운드 케익,5660,49650,19640,0.74,0,52,0,0.59,0.18
새우초밥,16804,78422,752,0.275,0,71.875,0,1.65,0
찐빵,5960,44360,1230,0.93,0.05,22,0,0.46,0
모닝빵,9060,58990,4910,0.68,0.07,33,0,0.56,0.00017
블루베리머핀,6220,54240,7340,2.8,0,121,4,1.3,0.9
야채 라면,9000,77000,15000,0,0,186,0,0.46,0.00201
서브웨이 베지 샌드위치,8620,3630,2500,1.8,0,6.8,7.3,0,0
쌀국수,15600,55100,4200,0.00051,0,41.12,0,2.9,0.00134
애플파이,1900,3400,1100,1.2,0,11,3.2,0,0
미라클버거,19000,23000,11000,0,0,0,0,0,0
느타리버섯볶음,3280,7690,180,0.61,0,3,0,1.47,0
찹싸루니,8000,40000,2000,0,0,0,0,0,0
채식주의샐러드,9000,23000,11000,0.22,0,30,0,0.14,0.00001
떡볶이,3800,30200,1700,4.4,0,20,0,1.23,0
비건 토마토파스타,5000,2500,1100,1.1,0.05,6,0.5,0.92,0.1
콩고기 스테이크,160000,6000,2500,6.9,0,212.5,0,0,0
야채김밥,12900,74600,10200,1.24,0,105.34,0,2.37,0.00294
고구마케이크,2000,44000,4000,0,0,0,0,0,0
루꼴라피자,31500,9900,72000,1.43,170,160,0,0.47,0
미역국,2600,3500,2500,1067.34,0,77.87,0,325.67,0.00048
야채만두,13000,79000,4900,0.71,0,298.15,0,1.42,0.00047
단호박죽,4000,74000,1400,0,0,0,0,0,0
고구마 샐러드,1000,22000,13000,0.36,0,14,0,0,0
채식 카레,2470,11390,1890,3,120,11,0,0.33,0
르뱅쿠키,4000,4700,1100,165,0.09,39,0,0.41,0.00005
병아리콩샐러드 2680,1489,2600,2.89,0.15,30,0.14,3.23,0.01,0
돌솥비빔밥,20,500,93800,11200,2.24,94.76,0,2.95,0.00067
오이 무침,2000,5000,400,0.39,0,29.05,0,0.29,0
오트밀죽,4000,2700,28000,0,0,0,0,0,0
옥수수,4220,28850,1420,0.9,30,6,0,0.93,0
아보카도포케, ,,,,,,,,
파인애플볶음밥,9000,64000,7000,0,0,0,0,0,0
비트수프,700,4000,200,0.8,0,16,0,0,0
