성별,연령,단백질(g),탄수화물,지방,철분,오메가3,칼슘(mg),비타민D(mg),아연(mg),비타민B12
남자,6~8,30000,256900,22500,9,1000,700,5,5,1.3
남자,9~11,40000,261200,22500,10,1000,800,5,8,1.7
남자,12~14,55000,308500,22500,14,1000,1000,10,8,2.3
남자,15~18,65000,311200,22500,14,1000,900,10,10,2.7
남자,19~29,65000,253600,22500,10,1000,800,10,10,2.4
남자,30~49,60000,337300,22500,10,1000,800,10,9,2.4
남자,50~64,60000,337300,22500,10,1000,750,10,9,2.4
남자,65~74,55000,337300,22500,9,1000,700,15,9,2.4
남자,75~,55000,337300,22500,9,1000,700,15,9,2.4
여자,6~8,25000,244900,22500,8,1000,700,5,5,1.3
여자,9~11,40000,261200,22500,10,1000,800,5,7,1.7
여자,12~14,50000,317100,22500,16,1000,900,10,7,2.3
여자,15~18,50000,244400,22500,14,1000,800,10,9,2.4
여자,19~29,55000,219600,22500,14,1000,700,10,8,2.4
여자,30~49,50000,280300,22500,14,1000,700,10,8,2.4
여자,50~64,50000,280300,22500,8,1000,800,10,8,2.4
여자,65~74,45000,280300,22500,8,1000,800,15,7,2.4
여자,75~,45000,280300,22500,7,1000,800,15,7,2.4
