단백질, 요거트, 계란, 아보카도, 우유, 모짜렐라, 아몬드, 땅콩버터, 호박씨, 육포, 두부, 닭가슴살, 햄프씨드, 브로콜리, 녹두, 아스파라거스, 오징어, 콩, 연어, 새우, 감자, 해바라기씨, 케일,,,,,,,,,,,
탄수화물, 씨리얼, 말린과일, 감자칩, 케잌, 쿠키, 빵, 토스트, 피자, 베이글, 감자튀김, 고구마, 토란, 당근, 옥수수, 콩, 현미, 보리, 바나나, 오렌지, 사과, 저지방우유, 요구르트,,,,,,,,,,,
지방, 호두, 아몬드, 피칸, 해바라기씨, 호박씨, 아보카도, 치즈, 올리브, 달걀, 아마씨,,,,,,,,,,,,,,,,,,,,,,,
오메가3, 고등어, 연어, 시금치, 케일, 양배추, 청어, 호두, 꽁치, 아몬드, 아마씨, 치아씨, 멸치, 굴,,,,,,,,,,,,,,,,,,,,
철분, 정어리, 고등어, 모시조개, 바지락, 굴, 콩, 두부, 된장, 시금치, 호박, 당근, 미역, 다시마, 톳, 브로콜리, 새우, 파슬리, 병아리콩, 루꼴라, 카레, 바질, 파프리카, 옥수수, 소시지, 가리비, 무화과, 자두, 다크초콜릿, 오렌지, 깻잎, 땅콩, 딸기, 렌틸콩
아연, 아마씨, 호박씨, 호두, 캐슈넛, 계란, 렌즈콩, 햄프씨드, 치즈, 잣, 다크 초콜릿, 굴, 새우, 멸치, 게, 병아리콩, 시금치, 귀리, ,,,,,,,,,,,,,,,
칼슘, 병아리콩, 케일, 달걀, 시금치, 두유, 양파, 치즈, 요거트, 우유, 두부, 멸치, 정어리, 아몬드, 연어, 브로콜리, 청경채, 무화과, 오렌지,,,,,,,,,,,,,,,
비타민 B12, 김, 소고기, 우유, 요구르트, 치즈, 고등어, 청어, 정어리, 꽁치, 굴, 모시조개, 게, 계란, 치즈, ,,,,,,,,,,,,,,,,,,
비타민 D, 버섯, 연어, 청어, 꽁치, 고등어, 우유, 달걀노른자,,,,,,,,,,,,,,,,,,,,,,,,,,
필수 아미노산,  쭈꾸미, 연어, 귀리, 콩나물, 북어, 김, 땅콩, 고등어, 치즈, 팥, 땅콩, ,,,,,,,,,,,,,,,,,,,,,
